,scennumb,nsites_train,intra,select,regression,idtrain,idtest,hm,y_ref,y_pred,TP,TN,weights
283,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
284,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
285,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
286,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
287,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
288,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
289,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
290,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
291,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
292,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
293,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
294,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
295,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
296,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
297,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
298,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
299,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
300,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
301,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
302,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
303,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
304,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
305,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
306,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
307,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
308,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
309,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
310,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
311,1,1,1,0,1,1,1,0,0,1,0,0,0.703488372093
312,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
313,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
314,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
315,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
316,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
317,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
318,1,1,1,0,1,1,1,0,0,1,0,0,0.703488372093
319,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
320,1,1,1,0,1,1,1,0,0,1,0,0,0.703488372093
321,1,1,1,0,1,1,1,0,0,1,0,0,0.703488372093
322,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
323,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
324,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
325,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
326,1,1,1,0,1,1,1,0,0,1,0,0,0.703488372093
327,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
328,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
329,1,1,1,0,1,1,1,0,0,1,0,0,0.703488372093
330,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
331,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
332,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
333,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
334,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
335,1,1,1,0,1,1,1,0,0,1,0,0,0.703488372093
336,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
337,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
338,1,1,1,0,1,1,1,0,1,0,0,0,0.703488372093
339,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
340,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
341,1,1,1,0,1,1,1,1,1,1,1,0,0.703488372093
342,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
343,1,1,1,0,1,1,1,1,0,0,0,1,0.703488372093
344,2,1,0,1,0,2,1,0,1,0,0,0,0.703488372093
345,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
346,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
347,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
348,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
349,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
350,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
351,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
352,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
353,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
354,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
355,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
356,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
357,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
358,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
359,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
360,2,1,0,1,0,2,1,0,1,0,0,0,0.703488372093
361,2,1,0,1,0,2,1,0,1,0,0,0,0.703488372093
362,2,1,0,1,0,2,1,1,0,0,0,1,0.703488372093
363,2,1,0,1,0,2,1,1,1,1,1,0,0.703488372093
364,2,1,0,1,0,2,1,0,0,1,0,0,0.703488372093
